Account Number,name,age,aadhar,phone number,account type
4467750328,Jyosna Philip,21,6734528638,83456348976,Savings
2213231239,Nicole Machado,34,853476,348957,Savings
2587079115,Shweta Mary,29,43865834637,92364834345,Current
0125731698,Jyothis Philip,39,46756287823,345678,Current
9640844106,Amrutha Paalathara,45,2634522372838,3456789876,Current
1180676711,Trikalagga,57,12346834887,47365734883,Current
1964151097,Mareen Biju,66,3458234857,23984755,Savings
9846516872,Mary Ann Joseph,41,24625467439,393264825,Savings
0823407886,Nefa Rafi,35,237657929,983247326,Savings
8799562640,Shamsa C K,51,47564778,23894623647,Savings
6243207468,Philip,24,34752694753,329847238,Savings
8642728528,Jeffin Shaji,27,324825798,82397873,Savings
3413841873,Aleena Shaji,38,3645834767,3896573868,Current
